,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
,Sonata in G Major K283,G大调奏鸣曲K283,摹大調奏鳴曲K283,Sonata in G Major K283,Sonata in G Major K283,Соната соль мажор K283,Sonata in G Major K283,Sonata in G-Dur K283,G장조 소나타 K283,Sonata in G Major K283,Sonata in G Major K283,Sonata in G Major K283,سونانا في سلم صول الكبير K283,Sonata in G Major K283,Sonata in G Major K283,29
,Peer Gynt Suite Op.46-4,在山魔王的宫殿里,在山魔王的宫殿里,Peer Gynt Suite Op.46-4,Peer Gynt Suite Op.46-4,Пер гюнт сюита Op.46-4,Peer Gynt Suite Op.46-4,Peer Gynt Suite Op.46-4,페르귄트 모음곡 Op.46-4,Peer Gynt Suite Op.46-4,Peer Gynt Suite Op.46-4,Peer Gynt Suite Op.46-4,بير جينت سويت No.4 Op.46,Peer Gynt Suite Op.46-4,Peer Gynt Suite Op.46-4,24
,Papillon,蝴蝶,蝴蝶,Papillon,Papillon,Отель papillon,Papillon,Papillon,파피용,Papillon,Papillon,Papillon,الفراشة,Papillon,Papillon,7
,Serenade,小夜曲,小夜曲,Serenade,Serenade,Серенада,Serenade,Serenade,세레나데,Serenade,Serenade,Serenade,سرينادة,Serenade,Serenade,7
,Modlitwa Dziewicy,少女的祈祷,少女的祈禱,Modlitwa Dziewicy,Modlitwa Dziewicy,Девичья молитва,Modlitwa Dziewicy,Das Gebet einer Jungfrau,소녀의 기도,Modlitwa Dziewicy,Modlitwa Dziewicy,Modlitwa Dziewicy,صلاة العذراء,Modlitwa Dziewicy,Modlitwa Dziewicy,12
,Red Berries in Blossom,红莓花儿开,紅莓花兒開,Red Berries in Blossom,Red Berries in Blossom,Красные ягоды в цвету,Red Berries in Blossom,Red Berries in Blossom,활짝 핀 붉은 베리,Red Berries in Blossom,Red Berries in Blossom,Red Berries in Blossom,التوت الحمراء في الزهرة,Red Berries in Blossom,Red Berries in Blossom,23
,Flower and Youth,花儿与少年,花兒與少年,Flower and Youth,Flower and Youth,Цветы и молодёжь,Flower and Youth,Flower and Youth,꽃과 소년,花と少年,Flower and Youth,Flower and Youth,زهرة والشباب,Flower and Youth,Flower and Youth,12
,Le Nozze di Figaro,费加罗的婚礼,費加羅的婚禮,Le Nozze di Figaro,Le Nozze di Figaro,Свадьба Фигаро,Le Nozze di Figaro,Le Nozze di Figaro,피가로의 결혼,Le Nozze di Figaro,Le Nozze di Figaro,Le Nozze di Figaro,زواج فيغارو,Le Nozze di Figaro,Le Nozze di Figaro,11
,Marche Militaire,军队进行曲,軍隊進行曲,Marche Militaire,Marche Militaire,Марке Академии,Marche Militaire,Marche Militaire,군대 진행곡,Marche Militaire,Marche Militaire,Marche Militaire,ماركي ميليتير,Marche Militaire,Marche Militaire,13
,Green Sleeves,绿袖子,綠袖子,Green Sleeves,Green Sleeves,Зеленые Рукава,Green Sleeves,Green Sleeves,푸른 옷소매,Green Sleeves,Green Sleeves,Green Sleeves,الأكمام الخضراء,Green Sleeves,Green Sleeves,15
,Minuet in G Major,G大调小步舞曲,G大調小步舞曲,Minuet in G Major,Minuet in G Major,Менуэт соль мажор,Minuet in G Major,Minuett in G-Dur,바흐 미뉴엣,Minuet in G Major,Minuet in G Major,Minuet in G Major,المينيويت في سلم صول الكبير,Minuet in G Major,Minuet in G Major,27
,The Yellow River in Anger,黄水谣,黃水謠,The Yellow River in Anger,The Yellow River in Anger,Гнев Желтой реки,The Yellow River in Anger,The Yellow River in Anger,황하의 분노,The Yellow River in Anger,The Yellow River in Anger,The Yellow River in Anger,النهر الأصفر في غضب,The Yellow River in Anger,The Yellow River in Anger,19
,Polka Italienne,意大利波尔卡,意大利波爾卡,Polka Italienne,Polka Italienne,Итальянская полька,Polka Italienne,Polka Italienne,이탈리안 폴카,Polka Italienne,Polka Italienne,Polka Italienne,البولكا الإيطالي,Polka Italienne,Polka Italienne,16
,Invitation to the Dance,邀舞,邀舞,Invitation to the Dance,Invitation to the Dance,Приглашение на танец,Invitation to the Dance,Aufforderung zum Tanz,무도회의 권유,Invitation to the Dance,Invitation to the Dance,Invitation to the Dance,دعوة إلى الرقص,Invitation to the Dance,Invitation to the Dance,14
,Etude Op.10 No.9,练习曲Op.10 No.9,練習曲Op.10 No.9,Etude Op.10 No.9,Etude Op.10 No.9,Этюд Op.10 №9,Etude Op.10 No.9,Etude Op.10 Nr.9,에튀드 Op.10 No.9,Etude Op.10 No.9,Etude Op.10 No.9,Etude Op.10 No.9,القطعة الموسيقية No.9 Op.10,Etude Op.10 No.9,Etude Op.10 No.9,27
,Elegie Op.3 No.1,悲歌,悲歌,Elegie Op.3 No.1,Elegie Op.3 No.1,Элегия Op.3 №1,Elegie Op.3 No.1,Elegie Op.3 Nr.1,비가,Elegie Op.3 No.1,Elegie Op.3 No.1,Elegie Op.3 No.1,Elegie Op.3 No.1,Elegie Op.3 No.1,Elegie Op.3 No.1,16
,Piano Concerto No.1,第一钢琴协奏曲,第一鋼琴協奏曲,Piano Concerto No.1,Piano Concerto No.1,Фортепианный концерт №1,Piano Concerto No.1,Piano Concerto Nr.1,피아노 협주곡 No.1,Piano Concerto No.1,Piano Concerto No.1,Piano Concerto No.1,كونشرتو البيانو No.1,Piano Concerto No.1,Piano Concerto No.1,20
,Siciliano,西西里舞曲,西西里舞曲,Siciliano,Siciliano,Сицилиана,Siciliano,Siciliano,시칠리아노,Siciliano,Siciliano,Siciliano,سيسليانو,Siciliano,Siciliano,8
,Sonata in D Major,D大调奏鸣曲,D大調奏鳴曲,Sonata in D Major,Sonata in D Major,Соната ре мажор,Sonata in D Major,Sonata in D-Dur,소나타 D장조,Sonata in D Major,Sonata in D Major,Sonata in D Major,سوناتا في سلم ري الكبير,Sonata in D Major,Sonata in D Major,23
,Etude Op.10 No.2,蚂蚁爬树 练习曲,螞蟻爬樹 練習曲,Etude Op.10 No.2,Etude Op.10 No.2,Этюд Op.10 №2,Etude Op.10 No.2,Etude Op.10 Nr.2,에튀드 Op.10 No.2,Etude Op.10 No.2,Etude Op.10 No.2,Etude Op.10 No.2,القطعة الموسيقية No.2 Op.10,Etude Op.10 No.2,Etude Op.10 No.2,27
,Sonata in C Major K279,C大调奏鸣曲K279,C大調奏鳴曲K279,Sonata in C Major K279,Sonata in C Major K279,Соната до мажор K279,Sonata in C Major K279,Sonata in C-Dur K279,소나타 C 장조 K279,Sonata in C Major K279,Sonata en C Majeur K279,Sonata en C Majeur K279,سوناتا في سلم دو الكبير K279,Sonata in C Major K279,Sonata in C Major K279,28
,Sonatina Op.36-1,小奏鸣曲Op.36-1,小奏鳴曲Op.36-1,Sonatina Op.36-1,Sonatina Op.36 No.1,Сонатина Op.36 №1,Sonatina Op.36 No.1,Sonatina Op.36 Nr.1,소나티네 Op.36 No.1,Sonatina Op.36 No.1,Sonatina Op.36 No.1,Sonatina Op.36 No.1,السوناتينا No.1 Op.36,Sonatina Op.36-1,Sonatina Op.36-1,21
,Symphony No.6 in F Major,田园交响曲,田園交響曲,Symphony No.6 in F Major,Symphony No.6 in F Major,Симфония № 6 фа мажор,Symphony No.6 in F Major,Symphonie Nr.6 in F-Dur,전원,Symphony No.6 in F Major,Symphony No.6 in F Major,Symphony No.6 in F Major,السيمفونية No.6 في سلم فا الكبير,Symphony No.6 in F Major,Symphony No.6 in F Major,32
,Sonata in C Major Mvt.2,C大调奏鸣曲 第二章,C大調奏鳴曲 第二章,Sonata in C Major Mvt.2,Sonata in C Major Mvt.2,Соната до мажор 2 часть,Sonata in C Major Mvt.2,Sonata in C-Dur 2. Satz,C장조 소나타 2 악장,Sonata in C Major Mvt.2,Sonata in C Major Mvt.2,Sonata in C Major Mvt.2,سوناتا في سلم دو الكبير Mvt.2,Sonata in C Major Mvt.2,Sonata in C Major Mvt.2,29
,Sonatina in G Major,G大调小奏鸣曲,G大調小奏鳴曲,Sonatina in G Major,Sonatina in G Major,Сонатина соль мажор,Sonatina in G Major,Sonatina in G-Dur,G장조 소나타,Sonatina in G Major,Sonatina in G Major,Sonatina in G Major,سوناتا في سلم صول الكبير,Sonatina in G Major,Sonatina in G Major,24
,Wilde Jagd,狩猎,狩獵,Wilde Jagd,Wilde Jagd,Wilde Jagd,Wilde Jagd,Wilde Jagd,사냥,Wilde Jagd,Wilde Jagd,Wilde Jagd,وايلد جغد,Wilde Jagd,Wilde Jagd,9
,Sonatina,小奏鸣曲,小奏鳴曲,Sonatina,Sonatina,Сонатина,Sonatina,Sonatina,소나티네,Sonatina,Sonatina,Sonatina,سوناتينا,Sonatina,Sonatina,8
,Feux Follets,鬼火,鬼火,Feux Follets,Feux Follets,Feux Follets,Feux Follets,Feux Follets,도깨비불,Feux Follets,Feux Follets,Feux Follets,فوكس فلتس,Feux Follets,Feux Follets,9
,Smatroll,山妖,山妖,Smatroll,Smatroll,Smatroll,Smatroll,Smatroll,산 요괴,Smatroll,Smatroll,Smatroll,سمترل,Smatroll,Smatroll,5
,Danse Macabre,死亡之舞,死亡之舞,Danse Macabre,Danse Macabre,Пляска Смерти,Danse Macabre,Totentanz,죽음의 무도,Danse Macabre,Danse Macabre,Danse Macabre,دانس مكابر,Danse Macabre,Danse Macabre,10
,The Nutcracker Overture,胡桃夹子 序曲,胡桃夾子 序曲,The Nutcracker Overture,The Nutcracker Overture,Щелкунчик Увертюра,The Nutcracker Overture,Ouvertüre zu Nussknacker,호두까기 인형,The Nutcracker Overture,The Nutcracker Overture,The Nutcracker Overture,افتتاحية كسارة البندق,The Nutcracker Overture,The Nutcracker Overture,21
,Piano Sonata No.2,降b小调奏鸣曲,降b小調奏鳴曲,Piano Sonata No.2,Piano Sonata No.2,Соната Для Фортепиано №2,Piano Sonata No.2,Piano Sonata Nr.2,피아노 소나타 No.2,Piano Sonata No.2,Piano Sonata No.2,Piano Sonata No.2,سوناتا على البيانو No.2,Piano Sonata No.2,Piano Sonata No.2,23
,Don Juan Paraphrase Part.2,香槟之歌,香檳之歌,Don Juan Paraphrase Part.2,Don Juan Paraphrase Part.2,Don Juan Paraphrase Part.2,Don Juan Paraphrase Part.2,Don Juan Paraphrase Part.2,돈 후안 패러프레이즈 2 부분,Don Juan Paraphrase Part.2,Don Juan Paraphrase Part.2,Don Juan Paraphrase Part.2,دون خوان برفرس الجزء 2,Don Juan Paraphrase Part.2,Don Juan Paraphrase Part.2,22
,Sonata No.25 Mvt.3,杜鹃奏鸣曲 第三章,杜鵑奏鳴曲 第三章,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3,Соната №25 3 часть,Sonata No.25 Mvt.3,Sonata Nr.25 3.Satz,뻐꾸기 소나타 3 악장,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3,السوناتا Mvt.3 No.25,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3,20
,Espana Cani,西班牙斗牛舞曲,西班牙鬥牛舞曲,Espana Cani,España Cañí,Эспанья Кани,Espana Cani,Espana Cani,에스파냐 카니,Espana Cani,Espana Cani,Espana Cani,اسبانى كان,Espana Cani,Espana Cani,10
,Sonatina Op.168 No.2,小奏鸣曲Op.168 No.2,小奏鳴曲Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,Сонатина Op.168 №2,Sonatina Op.168 No.2,Sonatina Op.168 Nr.2,작은 소나타 Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,السوناتينا No.2 Op.168,Sonatina Op.168 No.2,Sonatina Op.168 No.2,22
,The Blue Danube,蓝色多瑙河,藍色多瑙河,The Blue Danube,The Blue Danube,На Прекрасном Голубом Дунае,The Blue Danube,The Blue Danube,푸른 도나우 강,The Blue Danube,The Blue Danube,The Blue Danube,الدانوب الأزرق,The Blue Danube,The Blue Danube,14
,Bright Line,光明行,光明行,Bright Line,Bright Line,Яркая Линия,Bright Line,helle Linie,휘선,Bright Line,Bright Line,Bright Line,برايت لاين,Bright Line,Bright Line,10
,Auld Lang Syne,友谊地久天长,友誼地久天長,Auld Lang Syne,Auld Lang Syne,Старое доброе время,Auld Lang Syne,Auld Lang Syne,올드 랭 사인,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,نشيد الوداع,Auld Lang Syne,Auld Lang Syne,11
,Oh My Beloved Father,我亲爱的爸爸,我親愛的爸爸,Oh My Beloved Father,Oh My Beloved Father,"О, мой возлюбленный отец",Oh My Beloved Father,Oh mein geliebter Vater,오 사랑하는 나의 아버지,Oh My Beloved Father,Oh My Beloved Father,Oh My Beloved Father,يا والدي الحبيب,Oh My Beloved Father,Oh My Beloved Father,15
,Etude Op.10 No.3,离别,離別,Etude Op.10 No.3,Etude Op.10 No.3,Этюд Op.10 №3,Etude Op.10 No.3,Etude Op.10 Nr.3,"이별의 곡",Etude Op.10 No.3,Etude Op.10 No.3,Etude Op.10 No.3,القطعة الموسيقية No.3 Op.10,Etude Op.10 No.3,Etude Op.10 No.3,27
,La Traviata Excerpts,故乡的海水和土地,故鄉的海水和土地,La Traviata Excerpts,La Traviata Excerpts,Отрывок из травиата,La Traviata Excerpts,La Traviata Excerpts,라 트라비아타 발췌,La Traviata Excerpts,La Traviata Excerpts,La Traviata Excerpts,مقتطفات لا ترافياتا,La Traviata Excerpts,La Traviata Excerpts,19
,Sonatina Op.2 No.1,F大调小奏鸣曲,F大調小奏鳴曲,Sonatina Op.2 No.1,Sonatina Op.2 No.1,Сонатина Op.2 №1,Sonatina Op.2 No.1,Sonatina Op.2 Nr.1,작은 소나타 Op.2 No.1,Sonatina Op.2 No.1,Sonatina Op.2 No.1,Sonatina Op.2 No.1,السوناتينا No.1 Op.2,Sonatina Op.2 No.1,Sonatina Op.2 No.1,20
,Defend the Yellow River,保卫黄河,保衛黃河,Defend the Yellow River,Defend the Yellow River,Защитим Хуанхэ,Defend the Yellow River,Verteidigt den Gelben Fluss,황하의 수호,Defend the Yellow River,Defend the Yellow River,Defend the Yellow River,الدفاع عن النهر الأصفر,Defend the Yellow River,Defend the Yellow River,22
,Venetian Boat Song,威尼斯船歌,威尼斯船歌,Venetian Boat Song,Venetian Boat Song,Венецианский Лодка Песня,Venetian Boat Song,Barcarolle,베네치아의 뱃노래,Venetian Boat Song,Venetian Boat Song,Venetian Boat Song,أغنية قارب البندقية,Venetian Boat Song,Venetian Boat Song,19
,Troika,三套车,三套車,Troika,Troika,Тройка почтовая,Troika,Troika,뜨로이까,Troika,Troika,Troika,ترويكا,Troika,Troika,6
,Habanera,哈巴涅拉舞曲,哈巴涅拉舞曲,Habanera,Habanera,Хабанера,Habanera,Habanera,하바네라,Habanera,Habanera,Habanera,هابنرة,Habanera,Habanera,6
,L'Arlesienne,阿莱城姑娘,阿萊城姑娘,L'Arlesienne,L'Arlesienne,L'Arlesienne,L'Arlesienne,L'Arlesienne,아를의 여인,L'Arlesienne,L'Arlesienne,L'Arlesienne,لأرلسين,L'Arlesienne,L'Arlesienne,7
,Londonderry Air,伦敦德里小调,倫敦德里小調,Londonderry Air,Londonderry Air,Лондондерри Эйр,Londonderry Air,Londonderry Air,아! 목동아,Londonderry Air,Londonderry Air,Londonderry Air,لندنديري اير,Londonderry Air,Londonderry Air,12
,Vltava,沃尔塔瓦河,沃爾塔瓦河,Vltava,Vltava,Влтава,Vltava,Vltava,블타바 강,Vltava,Vltava,Vltava,فلتافا,Vltava,Vltava,6
,Valse Brillante Op.34 No.3,小猫圆舞曲,小貓圓舞曲,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Блестящий вальс Op.34 №3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 Nr.3,고양이 왈츠,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,الفالس البريلانتي No.3 Op.34,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,28
,Spinning Song,纺织歌,紡織歌,Spinning Song,Spinning Song,Spinning Song,Spinning Song,Spinning Song,물레의 노래,Spinning Song,Spinning Song,Spinning Song,اغنية الغزل,Spinning Song,Spinning Song,11
,Dance of Reed,芦笛舞曲,蘆笛舞曲,Dance of Reed,Dance of Reed,Танец пастушков,Dance of Reed,Dance of Reed,리드 댄스,Dance of Reed,Dance of Reed,Dance of Reed,رقصة الريد,Dance of Reed,Dance of Reed,10
,Seguidilla,塞桂第拉舞曲,塞桂第拉舞曲,Seguidilla,Seguidilla,Сегидилья,Seguidilla,Seguidilla,세기디야,Seguidilla,Seguidilla,Seguidilla,صغيدلة,Seguidilla,Seguidilla,6
,Tarantella,塔兰泰拉,塔蘭泰拉,Tarantella,Tarantella,Тарантелла,Tarantella,Tarantella,타란텔라,Tarantella,Tarantella,Tarantella,الترنتيلة,Tarantella,Tarantella,9
,Norwegian Dance Op.35 No.2,挪威舞曲Op.35 No.2,挪威舞曲Op.35 No.2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,Норвежский танец Op.35 №2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 Nr.2,노르웨이 Op.35 No.2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,الرقصة النرويجية No.2 Op.35,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,27
,Farewell of Slavianka,斯拉夫女人的告别,斯拉夫女人的告別,Farewell of Slavianka,Farewell of Slavianka,Прощание славянки,Farewell of Slavianka,Farewell of Slavianka,슬라브 여인의 작별,Farewell of Slavianka,Farewell of Slavianka,Farewell of Slavianka,وداع من سلافيانكا,Slavianka Vedası,Farewell of Slavianka,17
,Dreaming of Home and Mother,送别,送別,Dreaming of Home and Mother,Dreaming of Home and Mother,Dreaming of Home and Mother,Dreaming of Home and Mother,Dreaming of Home and Mother,집 어머니의 꿈,Dreaming of Home and Mother,Dreaming of Home and Mother,Dreaming of Home and Mother,الحلم بالبيت والام,Dreaming of Home and Mother,Dreaming of Home and Mother,18
,Salut d' Amour,爱的礼赞,愛的禮讚,Salut d' Amour,Salut d' Amour,Salut d' Amour,Salut d' Amour,Salut d' Amour,사랑의 인사,Salut d' Amour,Salut d' Amour,Salut d' Amour,Salut d' Amour,Salut d' Amour,Salut d' Amour,14
,Torna a Surriento,重归苏莲托,重歸蘇蓮托,Torna a Surriento,Torna a Surriento,Вернись в Сорренто,Torna a Surriento,Torna a Surriento,돌아오라 소렌토로,Torna a Surriento,Torna a Surriento,Torna a Surriento,طورنا سورينتو,Torna a Surriento,Torna a Surriento,13
,Di Spagna sono la bella,西班牙女郎,西班牙女郎,Di Spagna sono la bella,De España soy la Hermosa,Di Spagna sono la bella,Di Spagna sono la bella,Di Spagna sono la bella,스페인 아가씨,Di Spagna sono la bella,Di Spagna sono la bella,Di Spagna sono la bella,الجميلة الأسبانية,Di Spagna sono la bella,Di Spagna sono la bella,17
,Evening song of the Fisherman,渔舟唱晚,漁舟唱晚,Evening song of the Fisherman,Evening song of the Fisherman,Evening song of the Fisherman,Evening song of the Fisherman,Evening song of the Fisherman,어주창만,Evening song of the Fisherman,Evening song of the Fisherman,Evening song of the Fisherman,أغنية المساء للصياد,Evening song of the Fisherman,Evening song of the Fisherman,19
,Etude Op.100 No.2,阿拉伯风格曲,阿拉伯風格曲,Etude Op.100 No.2,Etude Op.100 No.2,Этюд Op.100 №2,Etude Op.100 No.2,Etude Op.100 Nr.2,에튀드 Op.100 No.2,Etude Op.100 No.2,Etude Op.100 No.2,Etude Op.100 No.2,القطعة الموسيقية No.2 Op.100,Etude Op.100 No.2,Etude Op.100 No.2,28
,Passacaglia,帕萨卡利亚,帕薩卡利亞,Passacaglia,Passacaglia,Пассакалья,Passacaglia,Passacaglia,파사칼리아,Passacaglia,Passacaglia,Passacaglia,بسكاجليى,Passacaglia,Passacaglia,8
